threshold,accuracy,precision,recall,f1,positive_rate
0.2,0.20025,0.19989992494370779,0.99875,0.3331248697102356,0.99925
0.21000000000000002,0.200375,0.19992493431752784,0.99875,0.3331595955384134,0.999125
0.22000000000000003,0.200875,0.19972434532013533,0.99625,0.33274188498069096,0.997625
0.23,0.20175,0.1995982927441627,0.99375,0.3324273468534393,0.99575
0.24000000000000002,0.203125,0.19934517063342147,0.989375,0.33183104496384025,0.992625
0.25,0.20475,0.19929275069461985,0.98625,0.33158226518176087,0.98975
0.26,0.207375,0.19913694631298387,0.980625,0.33104757885852937,0.984875
0.27,0.212375,0.1997700855792566,0.9775,0.331742496553187,0.978625
0.28,0.21575,0.19945987654320987,0.969375,0.33084470989761094,0.972
0.29000000000000004,0.22025,0.1995335579165587,0.9625,0.33054303498604853,0.96475
0.30000000000000004,0.227,0.19960681520314547,0.951875,0.3300108342361863,0.95375
0.31000000000000005,0.236,0.19968051118210864,0.9375,0.3292361720807726,0.939
0.32000000000000006,0.24425,0.1992694805194805,0.920625,0.32762455516014233,0.924
0.33000000000000007,0.258,0.20005534034311012,0.90375,0.32759401903035795,0.9035
0.34,0.269875,0.20002829254491442,0.88375,0.3262198638828008,0.883625
0.35000000000000003,0.2825,0.19973890339425587,0.860625,0.32422886743583706,0.86175
0.36000000000000004,0.296,0.19901463123320395,0.833125,0.3212822366835382,0.83725
0.37000000000000005,0.313875,0.2003390352904916,0.8125,0.3214241562615898,0.811125
0.38000000000000006,0.32775,0.19901210962396432,0.780625,0.31716607414931436,0.7845
0.39,0.343,0.19884678747940693,0.754375,0.31473272490221643,0.75875
0.4,0.362125,0.19910668270056692,0.724375,0.31235682522571084,0.727625
0.41000000000000003,0.38025,0.19953471725125269,0.696875,0.3102392877017251,0.6985
0.42000000000000004,0.3985,0.19981308411214954,0.668125,0.30762589928057554,0.66875
0.43000000000000005,0.421875,0.20290709094480455,0.645625,0.3087729786280078,0.636375
0.44000000000000006,0.442625,0.20495356037151702,0.620625,0.30814584949573315,0.605625
0.45000000000000007,0.463375,0.20619681431376827,0.590625,0.3056768558951965,0.572875
0.4600000000000001,0.4815,0.20481927710843373,0.5525,0.2988505747126437,0.5395
0.4700000000000001,0.501625,0.2069727473606678,0.526875,0.29719725013220516,0.509125
0.48000000000000004,0.520875,0.20871380120010435,0.5,0.2944965948831217,0.479125
0.49000000000000005,0.542375,0.21028956986224345,0.4675,0.29009113825867755,0.444625
0.5,0.562875,0.21178972956548162,0.435625,0.28501328971580453,0.411375
0.51,0.580625,0.20818091120718324,0.39125,0.27176036466247017,0.375875
0.52,0.60425,0.20913818722139674,0.351875,0.26234855545200375,0.3365
0.53,0.62675,0.20734797297297297,0.306875,0.2474798387096774,0.296
0.54,0.647125,0.2044465925567907,0.264375,0.23058053965658218,0.258625
0.55,0.669875,0.20576596947427925,0.2275,0.21608785989907986,0.221125
0.56,0.694875,0.20573827851644508,0.18375,0.19412347309343017,0.178625
0.5700000000000001,0.717625,0.20126926563916592,0.13875,0.16426193118756938,0.137875
0.5800000000000001,0.7445,0.2131782945736434,0.103125,0.13900589721988205,0.09675
0.5900000000000001,0.762375,0.1934826883910387,0.059375,0.09086561453849833,0.061375
0.6000000000000001,0.78125,0.18487394957983194,0.0275,0.04787812840043525,0.02975
0.6100000000000001,0.796875,0.288135593220339,0.010625,0.020494273658830622,0.007375
0.6200000000000001,0.7995,0.0,0.0,0.0,0.0005
0.6300000000000001,0.8,0.0,0.0,0.0,0.0
0.6400000000000001,0.8,0.0,0.0,0.0,0.0
0.6500000000000001,0.8,0.0,0.0,0.0,0.0
0.6600000000000001,0.8,0.0,0.0,0.0,0.0
0.6700000000000002,0.8,0.0,0.0,0.0,0.0
0.6800000000000002,0.8,0.0,0.0,0.0,0.0
0.6900000000000002,0.8,0.0,0.0,0.0,0.0
0.7000000000000002,0.8,0.0,0.0,0.0,0.0
0.7100000000000002,0.8,0.0,0.0,0.0,0.0
0.7200000000000002,0.8,0.0,0.0,0.0,0.0
0.7300000000000002,0.8,0.0,0.0,0.0,0.0
0.7400000000000002,0.8,0.0,0.0,0.0,0.0
0.7500000000000002,0.8,0.0,0.0,0.0,0.0
0.76,0.8,0.0,0.0,0.0,0.0
0.77,0.8,0.0,0.0,0.0,0.0
0.78,0.8,0.0,0.0,0.0,0.0
0.79,0.8,0.0,0.0,0.0,0.0
0.8,0.8,0.0,0.0,0.0,0.0
