Model,Threshold,Accuracy,Precision,Recall,F1-Score,ROC-AUC
RANDOM FOREST (SMOTE),0.45,0.432,0.19230769230769232,0.575,0.2882205513784461,0.4808234375
RANDOM FOREST (NO SMOTE),0.45,0.417,0.1936,0.605,0.29333333333333333,0.48317812499999996
