Stage,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Before Tuning,0.669,0.17412935323383086,0.175,0.1745635910224439,0.489209375
After Tuning,0.512,0.19556025369978858,0.4625,0.274888558692422,0.4821140625
